"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (RA)","802.11","36","-86dBm","Acknowledgement, Flags=........"
"2","0.014277984","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=16, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"3","0.115013244","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=17, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"4","0.148576092","","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (RA)","802.11","36","-84dBm","Acknowledgement, Flags=........"
"5","0.216849428","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=18, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"6","0.264868671","","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (RA)","802.11","36","-84dBm","Acknowledgement, Flags=........"
"7","0.318902927","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=19, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"8","0.413544850","","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (RA)","802.11","36","-86dBm","Acknowledgement, Flags=........"
"9","0.420877612","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=20, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"10","0.522970813","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=21, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"11","0.524350282","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-86dBm","Data, SN=22, FN=0, Flags=.p....F."
"12","0.529811778","","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (RA)","802.11","36","-86dBm","Acknowledgement, Flags=........"
"13","0.625013315","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=23, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"14","0.678575735","","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (RA)","802.11","36","-86dBm","Acknowledgement, Flags=........"
"15","0.727042883","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=24, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
