"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3457, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"2","0.102651309","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3458, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"3","0.205007839","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3459, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"4","0.206682057","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-84dBm","Data, SN=3460, FN=0, Flags=.p....F."
"5","0.307520334","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3461, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"6","0.409734902","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3462, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"7","0.410731417","Sagemcom_7d:5b:3f","Broadcast","802.11","120","-84dBm","Data, SN=3463, FN=0, Flags=.p....F."
"8","0.512265309","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3464, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"9","0.614672276","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3465, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"10","0.717052465","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3466, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"11","0.819273953","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3467, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"12","0.921880095","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=3468, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
