"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1064, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"2","0.107512330","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1065, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"3","0.206668961","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1066, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"4","0.307209157","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1067, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"5","0.409651423","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1068, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"6","0.411345174","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-86dBm","Data, SN=1069, FN=0, Flags=.p....F."
"7","0.512368825","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1070, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"8","0.614809369","Sagemcom_7d:5b:41","Broadcast","802.11","432","-86dBm","Beacon frame, SN=1071, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F[Malformed Packet]"
"9","0.717167072","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1073, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"10","0.819213368","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1074, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"11","0.822637813","Sagemcom_7d:5b:3f","IPv4mcast_7f:ff:fa","802.11","428","-86dBm","Data, SN=1075, FN=0, Flags=.pm...F."
"12","0.826023159","Sagemcom_7d:5b:3f","IPv4mcast_7f:ff:fa","802.11","419","-86dBm","Data, SN=1076, FN=0, Flags=.p....F."
"13","0.888585978","","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (RA)","802.11","36","-86dBm","Clear-to-send, Flags=........"
"14","0.890780943","","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (RA)","802.11","36","-86dBm","Clear-to-send, Flags=........"
"15","0.893440563","","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (RA)","802.11","36","-86dBm","Clear-to-send, Flags=........"
"16","0.895851297","","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (RA)","802.11","36","-86dBm","Clear-to-send, Flags=........"
"17","0.900024014","","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (RA)","802.11","36","-92dBm","Clear-to-send, Flags=........"
"18","0.911614263","","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (RA)","802.11","36","-86dBm","Clear-to-send, Flags=........"
"19","0.918650904","","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (RA)","802.11","36","-86dBm","Clear-to-send, Flags=........"
"20","0.921539599","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1077, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"21","0.925624413","","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (RA)","802.11","36","-86dBm","Clear-to-send, Flags=........"
"22","0.932513530","Sagemcom_7d:5b:3f","IPv4mcast_7f:ff:fa","802.11","471","-86dBm","Data, SN=1078, FN=0, Flags=.pm...F."
"23","0.937629684","Sagemcom_7d:5b:3f","IPv4mcast_7f:ff:fa","802.11","483","-86dBm","Data, SN=1079, FN=0, Flags=.p....F."
"24","1.024297267","Sagemcom_7d:5b:41","Broadcast","802.11","290","-92dBm","Beacon frame, SN=1080, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"25","1.027891567","Sagemcom_7d:5b:3f","IPv4mcast_7f:ff:fa","802.11","485","-86dBm","Data, SN=1081, FN=0, Flags=.pm...F."
